Finished step 75 of 5004 in epoch 0,loss=5.256, acc=0.020 (715.583 img/s).
Finished step 76 of 5004 in epoch 0,loss=5.255, acc=0.008 (724.601 img/s).
Finished step 77 of 5004 in epoch 0,loss=5.269, acc=0.004 (715.683 img/s).
Finished step 78 of 5004 in epoch 0,loss=5.246, acc=0.004 (744.188 img/s).
Finished step 79 of 5004 in epoch 0,loss=5.304, acc=0.004 (800.388 img/s).
Finished step 80 of 5004 in epoch 0,loss=5.248, acc=0.004 (677.878 img/s).
Finished step 81 of 5004 in epoch 0,loss=5.335, acc=0.008 (598.790 img/s).
Finished step 82 of 5004 in epoch 0,loss=5.314, acc=0.000 (814.728 img/s).
Finished step 83 of 5004 in epoch 0,loss=5.286, acc=0.004 (678.967 img/s).
Finished step 84 of 5004 in epoch 0,loss=5.257, acc=0.008 (696.434 img/s).
Finished step 85 of 5004 in epoch 0,loss=5.291, acc=0.004 (577.178 img/s).
Finished step 86 of 5004 in epoch 0,loss=5.312, acc=0.000 (714.962 img/s).
Finished step 87 of 5004 in epoch 0,loss=5.386, acc=0.000 (772.365 img/s).
Finished step 88 of 5004 in epoch 0,loss=5.320, acc=0.008 (688.735 img/s).
Finished step 89 of 5004 in epoch 0,loss=5.281, acc=0.020 (744.633 img/s).
Finished step 90 of 5004 in epoch 0,loss=5.246, acc=0.004 (700.878 img/s).
Finished step 91 of 5004 in epoch 0,loss=5.216, acc=0.004 (642.499 img/s).
Finished step 92 of 5004 in epoch 0,loss=5.321, acc=0.016 (769.246 img/s).
Finished step 93 of 5004 in epoch 0,loss=5.251, acc=0.000 (677.521 img/s).
Finished step 94 of 5004 in epoch 0,loss=5.248, acc=0.012 (809.722 img/s).
Finished step 95 of 5004 in epoch 0,loss=5.231, acc=0.004 (655.061 img/s).
Finished step 96 of 5004 in epoch 0,loss=5.252, acc=0.016 (798.258 img/s).
Finished step 97 of 5004 in epoch 0,loss=5.283, acc=0.004 (787.226 img/s).
Finished step 98 of 5004 in epoch 0,loss=5.262, acc=0.004 (736.514 img/s).
Finished step 99 of 5004 in epoch 0,loss=5.268, acc=0.004 (730.742 img/s).
Finished step 100 of 5004 in epoch 0,loss=5.273, acc=0.008 (668.133 img/s).
Finished step 101 of 5004 in epoch 0,loss=5.387, acc=0.008 (714.342 img/s).
Finished step 102 of 5004 in epoch 0,loss=5.282, acc=0.016 (730.532 img/s).
Finished step 103 of 5004 in epoch 0,loss=5.276, acc=0.004 (659.759 img/s).
Finished step 104 of 5004 in epoch 0,loss=5.332, acc=0.004 (763.901 img/s).
Finished step 105 of 5004 in epoch 0,loss=5.384, acc=0.004 (693.296 img/s).
Finished step 106 of 5004 in epoch 0,loss=5.278, acc=0.012 (702.039 img/s).
Finished step 107 of 5004 in epoch 0,loss=5.244, acc=0.004 (800.621 img/s).
Finished step 108 of 5004 in epoch 0,loss=5.309, acc=0.000 (758.291 img/s).
Finished step 109 of 5004 in epoch 0,loss=5.261, acc=0.000 (728.014 img/s).
Finished step 110 of 5004 in epoch 0,loss=5.272, acc=0.012 (766.259 img/s).
Finished step 111 of 5004 in epoch 0,loss=5.224, acc=0.000 (792.605 img/s).
Finished step 112 of 5004 in epoch 0,loss=5.364, acc=0.000 (716.538 img/s).
Finished step 113 of 5004 in epoch 0,loss=5.264, acc=0.020 (794.809 img/s).
Finished step 114 of 5004 in epoch 0,loss=5.339, acc=0.004 (748.170 img/s).
Finished step 115 of 5004 in epoch 0,loss=5.270, acc=0.008 (604.093 img/s).
Finished step 116 of 5004 in epoch 0,loss=5.364, acc=0.008 (645.909 img/s).
Finished step 117 of 5004 in epoch 0,loss=5.285, acc=0.012 (777.075 img/s).
Finished step 118 of 5004 in epoch 0,loss=5.296, acc=0.000 (663.943 img/s).
Finished step 119 of 5004 in epoch 0,loss=5.249, acc=0.012 (814.943 img/s).
Finished step 120 of 5004 in epoch 0,loss=5.320, acc=0.000 (767.151 img/s).
Finished step 121 of 5004 in epoch 0,loss=5.316, acc=0.012 (727.190 img/s).
Finished step 122 of 5004 in epoch 0,loss=5.294, acc=0.004 (739.804 img/s).
